device_id,component_name,co2_emitted,global_warming_pct
1,BATTERY,0.3988,1.2
1,DATA LINK CABLE,0.0665,0.2
1,DISPLAY,6.3475,19.1
1,Depth CAM,0.0665,0.2
1,FINGER PRINT,0.1994,0.6
1,FRONT,0.1662,0.5
1,MAIN B'D,24.9913,75.3
1,Others,0.2991,0.9
1,REAR,0.1662,0.5
1,SUB B'D,0.4985,1.5
2,ANTENNA COIL,0.1025,0.2
2,AUDIO,0.205,0.4
2,BATTERY,1.1275,2.2
2,CAMERA-2M,0.1025,0.2
2,CASE FRONT,0.1537,0.3
2,DATA CABEL,0.1537,0.3
2,DISPLAY,2.4599,4.8
2,MAIN B'D,41.7679,81.4
2,Others,0.3587,0.7
2,SUB PBA,4.8686,9.5
3,ANTENNA COIL,0.1012,0.2
3,AUDIO,1.012,2.0
3,BATTERY,2.4288,4.8
3,CAMERA-2M,0.1518,0.3
3,CASE FRONT,0.2024,0.4
3,DATA CABEL,0.1518,0.3
3,DISPLAY,1.1132,2.2
3,MAIN B'D,40.227,79.5
3,Others,0.4048,0.8
3,SUB PBA,4.807,9.5
4,Battery,0.514,1.5
4,CAM - Selfie,0.514,1.5
4,CAM - Ultra wide,0.1028,0.3
4,CTC FPCB,0.4455,1.3
4,Display,0.9252,2.7
4,Finger Print Sensor,0.1371,0.4
4,MAIN B'D,21.8614,63.7
4,Others,9.149,26.7
4,SUB B'D,0.3769,1.1
4,Side Key,0.2741,0.8
5,Battery,1.1084,3.1
5,CAM - Main,0.143,0.4
5,CAM - Selfie,0.6078,1.7
5,CAM - Ultra wide,0.3218,0.9
5,Display,1.1084,3.1
5,Finger Print Sensor,0.143,0.4
5,MAIN B'D,26.4747,73.1
5,Others,5.3275,14.7
5,Side Key,0.5363,1.5
5,SUB B'D,0.4291,1.2
6,ASSY BRACKET,0.2568,0.8
6,Battery,1.0914,3.4
6,CAM - Wide,0.0963,0.3
6,DLC,0.6741,2.1
6,Display,5.0076,15.6
6,Finger Print Sensor,0.2568,0.8
6,MAIN B'D,23.6577,73.7
6,Others,0.4173,1.3
6,SPK,0.1605,0.5
6,SUB B'D,0.4815,1.5
7,ASSY BRACKET,0.2611,0.8
7,Battery,1.0769,3.3
7,CAM - Wide,0.0979,0.3
7,CTC FPCB,0.0653,0.2
7,DLC,0.6853,2.1
7,Display,5.0581,15.5
7,MAIN B'D,24.3764,74.8
7,Others,0.359,1.1
7,SPK,0.1632,0.5
7,SUB B'D,0.4569,1.4
8,ASSY CASE-FRONT,0.1685,0.5
8,ASSY CASE-REAR,0.3033,0.9
8,ASSY US FP,0.1011,0.3
8,DISPLAY,2.8645,8.5
8,DLC,0.1011,0.3
8,INCELL BATTERY PACK,0.3033,0.9
8,MAIN B'D,27.9373,82.9
8,MAIN CAMERA,0.674,2.0
8,Others,0.8762,2.6
8,SUB B'D,0.3707,1.1
9,ASSY US FPCB,0.5096,1.4
9,BATTERY,1.0192,2.8
9,DC MOTOR,0.4004,1.1
9,DLC,0.4732,1.3
9,"DISPLAY-6.5""",4.732,13.0
9,FRONT CASE,0.364,1.0
9,IF SUB B'D,0.5096,1.4
9,MAIN B'D,27.2636,74.9
9,Others,0.8008,2.2
9,REAR CASE,0.3276,0.9
10,Audio - Receiver,0.1006,0.3
10,Battery,1.0395,3.1
10,CAM - Main,0.3353,1.0
10,CAM - Wide,0.1006,0.3
10,DLC,0.1006,0.3
10,Display,5.0299,15.0
10,Finger Print Sensor,0.1677,0.5
10,MAIN B'D,25.7869,76.7
10,Others,0.6371,1.9
10,SUB B'D,0.3018,0.9
11,BACK COVER,0.0383,0.1
11,BATTERY,0.5745,1.5
11,DISPLAY,4.5194,11.8
11,DLC,0.0766,0.2
11,FRONT,0.3447,0.9
11,IF SUB B'D,0.383,1.0
11,MAIN B'D,31.8273,83.1
11,MAIN CAM,0.1149,0.3
11,Others,0.3064,0.8
11,SPK-BTM,0.1149,0.3
12,BATTERY,1.0493,2.8
12,CAM - MACRO,0.2998,0.8
12,CAM - WIDE,0.2623,0.7
12,DISPLAY,4.6844,12.5
12,DLC,0.1499,0.4
12,FPCB,1.0493,2.8
12,FRONT,0.5246,1.4
12,MAIN B'D,28.2187,75.5
12,Others,0.6745,1.8
12,SUB B'D,0.4872,1.3
13,Battery,1.12,3.2
13,CAM - Main,0.245,0.7
13,CAM - Wide,0.49,1.4
13,DLC,0.105,0.3
13,Display,4.2,12.0
13,Finger Print Sensor,0.28,0.8
13,MAIN B'D,26.915,76.9
13,Others,0.455,1.3
13,SPK,0.21,0.6
13,SUB B'D,0.98,2.8
14,BACK COVER,0.0339,0.1
14,BATTERY,0.3733,1.1
14,DISPLAY,4.2757,12.6
14,DLC,0.1018,0.3
14,FRONT,0.3393,1.0
14,FRONT CAM,0.0339,0.1
14,IF SUB B'D,0.6108,1.8
14,MAIN B'D,27.8938,82.3
14,Others,0.2036,0.6
14,UNIT BOX,0.0339,0.1
15,ASSY FRONT CASE,1.0661,2.8
15,CAMERA-12M,0.7897,2.1
15,CAMERA-5M,0.6712,1.8
15,DISPLAY,4.6987,12.3
15,IF SUB B'D,1.0661,2.8
15,MAIN B'D,29.7318,77.5
15,Others,0.2764,0.7
16,Battery,1.1246,3.5
16,CAM - Main,0.2892,0.9
16,CAM - Selfie,0.0643,0.2
16,CAM - Wide,0.6748,2.1
16,CTC FPCB,0.0643,0.2
16,DLC,0.0964,0.3
16,Display,4.627,14.4
16,MAIN B'D,24.3882,76.0
16,Others,0.3856,1.2
16,SUB B'D,0.3856,1.2
17,ANTENNA_SUB+NFC,0.0401,0.1
17,ASSY US FP-FPM,0.0803,0.2
17,BATTERY,0.4817,1.2
17,DISPLAY,5.9809,14.9
17,DLC,0.1606,0.4
17,FRONT,0.1204,0.3
17,MAIN B'D,28.8607,72.0
17,Others,0.2408,0.6
17,REAR,0.1606,0.4
17,SUB B'D,3.9739,9.9
18,ASSY FRONT CASE,0.5085,1.5
18,ASSY US FPCB,0.5085,1.5
18,BATTERY,1.2543,3.7
18,DISPLAY,5.2545,15.5
18,DLC,0.4746,1.4
18,IF SUB B'D,0.5085,1.5
18,MAIN B'D,23.5266,69.4
18,MAIN CAM-50MP,0.678,2.0
18,Others,0.678,2.0
18,RECEIVER,0.5085,1.5
19,FRONT,0.5137,1.5
19,IF SUB B'D,1.1375,3.2
19,MAIN B'D,29.1354,82.6
19,MAIN DISPLAY,3.963,11.2
19,Others,0.1835,0.5
19,REAR CAM-50MP,0.3669,1.0
20,ASSY US FP,0.5994,1.6
20,BATTERY,1.1239,3.0
20,DISPLAY,3.6713,9.8
20,DLC,0.1873,0.5
20,FRONT,0.3746,1.0
20,IF SUB B'D,0.4496,1.2
20,MAIN B'D,30.2322,80.6
20,Others,0.5245,1.4
20,REAR,0.1124,0.3
20,WIDE CAMERA,0.2248,0.6
21,ASSY US FP,0.3595,0.9
21,BATTERY,0.9985,2.5
21,DLC,0.4793,1.2
21,FRONT CASE,0.3195,0.8
21,MAIN B'D,30.1547,75.6
21,MAIN DISPLAY,5.7913,14.5
21,Others,0.5991,1.5
21,SPEAKER,0.1198,0.3
21,SUB B'D,0.8387,2.1
21,VT CAM,0.2396,0.6
22,ASSY US FP,0.1357,0.4
22,BATTERY,0.4411,1.3
22,DISPLAY,1.9682,5.8
22,DLC,0.0679,0.2
22,FRONT COVER,0.2715,0.8
22,MAIN B'D,30.0655,88.7
22,Others,0.2036,0.6
22,REAR COVER,0.1357,0.4
22,SUB B'D,0.5429,1.6
22,ULTRA WIDE CAMERA,0.0679,0.2
23,BATTERY,4.0479,10.8
23,FRONT CAM,0.9547,2.5
23,IF SUB B'D,0.3819,1.0
23,MAIN B'D,16.8406,44.9
23,METAL FRONT UNIT,0.3055,0.8
23,Others,0.3055,0.8
23,SECONDARY B'D,13.862,37.0
23,TELEPHOTE CAM-8M,0.4964,1.3
