PartNo,Description,Logic,Category
GH82-11351A,"SVC PBA-PBA MAIN(COMM);SM-G935F,XEF,-,SV"
GH82-11352A,"SVC PBA-PBA MAIN(COMM),SM-G930F/M32;SV;S"
GH97-18533E,"SVC ASSY SMT-OCTA,(E/PINK GOLD)"
GH97-20470A,"SVC ASSY SMT-OCTA,(E/BLK)"
GH97-18533B,"SVC ASSY SMT-OCTA,(E/SILVER)"
GH82-09544A,SVC PBA-PBA MAIN(COMM)
GH97-18533C,"SVC ASSY SMT-OCTA,(E/GOLD)"
GH97-18533A,"SVC ASSY SMT-OCTA,(E/BLK)"
GH97-18533D,"SVC ASSY SMT-OCTA,(E/WHITE)"
GH82-13388A,SVC LCD ASSY-OCTA KIT(E/BLK)
GH97-17162A,"SVC ASSY SMT-OCTA,(E/BLK)"
GH97-17162B,"SVC ASSY SMT-OCTA,(E/WHT)"
GH97-17162C,"SVC ASSY SMT-OCTA,(E/GOLD),SVC"
GH97-14819A,"SVC ASSY SMT-LCD (E/WHT),GT-P5200"
GH97-17162E,"SVC ASSY SMT-OCTA,(E/GREEN)"
GH97-17260B,SVC ASSY SMT-OCTA (E/WHT)
GH97-17260A,SVC ASSY SMT-OCTA (E/BLK)
GH97-17260C,SVC ASSY SMT-OCTA (E/GOLD)
GH97-15755B,"SVC ASSY SMT-LCD (E/WHT),SM-T330"
GH97-18523C,SVC ASSY SMT-SM-G930F OCTA (E/GOLD)
GH97-18523A,SVC ASSY SMT-SM-G930F OCTA (E/BLK)
GH97-19022A,"SVC ASSY SMT-LCD,(E/BLK)"
GH97-15959B,"SVC ASSY SMT-OCTA (E/BLK),SM-G900F"
GH97-17260D,SVC ASSY SMT-OCTA (E/BLUE)
GH97-19022B,SVC ASSY SMT-LCD (E/WHT)
GH82-08630A,SVC PBA-PBA MAIN (COMM)
GH82-11758A,"SVC PBA-PBA MAIN(COMM),SM-J510FN/DS"
GH96-09178A,ASSY REAR UNIT-GPG
GH82-12357A,"SVC PBA-PBA MAIN(COMM),SM-T580"
GH96-08376A,ASSY REAR UNIT-COMMON (BLACK)
GH96-08583C,ASSY REAR UNIT-EU(BYD)_ZD
GH82-09370A,"SVC PBA-PBA MAIN(COMM);SM-G360F,XEO,-,SV"
GH82-10208A,"SVC PBA-PBA MAIN(COMM);SM-J500FN,-,-,SVC"
GH96-08846A,ASSY REAR UNIT-COMMON_SEHZ_SEVT (BLK)
GH82-11637A,"SVC PBA-PBA MAIN(COMM),SM-J320FN"
GH82-10172A,"SVC PBA-PBA MAIN(COMM),SM-G361F;SVC;SM-G"
GH97-18249B,"SVC ASSY SMT-OCTA,(E/BLK),SM-A310F"
GH96-08241F,ASSY REAR UNIT-SVC_A500FU (ZD)
GH96-10651A,ASSY CAMERA-12M OIS/AF_SM-G930F
GH97-18414C,"SVC ASSY SMT-OCTA,(E/BLACK),SM-J320F"
GH82-09531A,"SVC PBA-PBA MAIN(COMM);SM-J100H,SS,-,SVC"
GH82-11346B,SVC COVER ASSY-BACK GLASS_OPEN_ZS
GH82-11346E,SVC COVER ASSY-BACK GLASS_OPEN_ED
GH82-11384B,SVC COVER ASSY-BACK GLASS SVC EUR_ZS;SM-
GH82-11346A,SVC COVER ASSY-BACK GLASS_OPEN_ZK
GH82-11346C,SVC COVER ASSY-BACK GLASS_OPEN_ZD
GH82-11346D,SVC COVER ASSY-BACK GLASS_OPEN_ZW
GH97-17667B,SVC ASSY SMT-OCTA (E/BLK)
GH97-17667C,"SVC ASSY SMT-OCTA(E/GOLD);SM-J500F,SVC,S"
GH97-17667A,SVC ASSY SMT-OCTA(E/WHT)
GH82-13962C,"SVC COVER ASSY-B/GLASS;SM-G950F,EUR,OCD,"
GH96-08808A,ASSY LCD-4.5 PLS WVGA(SM-G361F)
GH96-08338A,"ASSY LCD-4.5""WVGA PLS"
GH98-37880B,ASSY CASE-REAR
GH43-03922B,"BATTERY-T4500E,6800MAH"
GH97-20394A,"SVC IF PBA-CS,IF SUB PBA"
GH96-07758B,ASSY LCD-4.50 PLS WVGA SM-G3608W ASSY
GH97-18576A,"SVC IF PBA-CS,IF SUB PBA"
GH97-20392A,"SVC IF PBA-CS,IF SUB PBA"
GH43-04436B,"INNER BATTERY PACK-EB-BT550ABE,6000MAH"
GH82-14656A,SVC BATTERY ASSY-SM-G955F
GH82-09548D,SVC COVER ASSY-B/GLASS
GH82-09825C,SVC COVER ASSY-B/GLASS
GH43-04112B,"INNER BATTERY PACK-EB-BT330FBE,4450MAH,P"
GH82-09602A,SVC COVER ASSY-B/GLASS
GH82-09548A,SVC COVER ASSY-B/GLASS
GH82-09548C,SVC COVER ASSY-B/GLASS
GH43-04575B,"INCELL BATTERY PACK-EB-BG935ABE,3600MAH"
GH96-08355A,TOUCH SCREEN ASSY-SILVER (SM-G388F)
GH43-04574C,"INCELL BATTERY PACK-EB-BG930ABE,3000MAH"
GH96-09789C,ASSY US FP-SM-G930F_V1 NC(GOLD)
GH96-09789A,ASSY US FP-SM-G930F_V1 NC(BLACK)
GH96-08166B,ASSY US FP-SM_G920F (BLACK)
GH96-08275B,ASSY SUB PBA-USB_PCB_BLUE+GOLD(SM-G920F)
GH96-08166C,ASSY US FP-SM_G920F (GOLD)
GH96-08950A,ASSY SUB PBA-USB_VODA (SM-G920F)
GH59-13223A,"UNIT-IF CON ASSY,11PIN FPCB(P5200)"
GH96-08740B,TOUCH SCREEN ASSY-SM_G361F(GRAY)
GH96-08226A,ASSY SUB PBA-USB (SM-G925F)
GH42-05787A,ANTENNA COIL-NFC(G935F)
GH98-39054C,ASSY CASE-REAR (LTE/ZB)_SS
GH43-03756A,"INNER BATTERY PACK-EB595675LU,3100MAH"
GH43-04563B,"INCELL BATTERY PACK-EB-BA510ABE,2900MAH"
GH82-12811A,A/S REWORK KIT-SUB/HOME KEY KIT;SM-G920F
GH43-04420B,"INNER BATTERY PACK-EB-BG925ABE,2600MAH"
GH96-07778A,ASSY MODULE-SM_A500F IF SUB PBA
GH43-04413B,"INNER BATTERY PACK-EB-BG920ABE,2550MAH"
GH82-11431A,A/S REPAIR KIT-SUB/HOME KEY KIT;SM-G930F
GH43-04378A,"INNER BATTERY PACK-EB-BG360BBE,2000MAH,N"
GH43-04511A,"INNER BATTERY PACK-EB-BG531BBE,2600MAH,N"
GH96-08091A,ASSY SUB PBA-RCV SENSOR (SM-G925F)
GH96-08162A,RCV ASSY-RCV+IRED PBA (SM-G920F)
GH98-39052C,ASSY COVER-BATT (LTE/ZB)_SS
3009-001709,AUDIO-RECEIVER
GH59-14721A,UNIT-SUB KEY FPCB(SM-J500F)
GH97-18542A,MEA ETC-UNIT SENSOR-PBA(SM-G935F)
GH98-38787C,ASSY SIM TRAY-SINGLE_ZD
GH98-38787B,ASSY SIM TRAY-SINGLE_ZS
GH98-38787A,ASSY SIM TRAY-SINGLE_ZK
GH98-39260B,ASSY SIM TRAY-SINGLE_ZS
GH96-09944A,ASSY MODULE-TOUCH KEY SM_J510FN EAR JACK
GH39-01949A,DATA LINK CABLE-WW(BLACK)
GH59-14638A,EAR JACK FPCB-SM-G935F
GH98-37588C,ASSY CASE-BATT_COVER(SS)_ZK
GH39-01580Q,"DATA LINK CABLE-BOBBIN, WW"
GH82-11802A,"A/S REWORK KIT-PBA REWORK KIT;SM-G920F,C"
GH82-14072A,A/S REPAIR KIT-T
GH02-10988A,TAPE DOUBLE FACE-MAIN_WINDOW_SVC;SM-G903
GH81-13535A,"A/S-TAPE_BACK_GLASS_SVC;SM-A510F,ANYONE"
GH81-12368A,"A/S-TSP LCD TAPE;SM-G3608,3M 4303WP-25,T"
GH81-12781A,A/S-TAPE BACKGLASS OUTTER(R/KIT)SM-G925F
GH81-12746A,A/S-BACK GLASS TAPE_R/KIT
GH31-00734A,LINEAR VIBRATOR-SM-G928A
GH02-08587A,TAPE POLYESTER-OCTA_SVC_(R/KIT)
GH81-13669A,"A/S-OCTA REWORK TAPE;SM-J320F,TSP WINDOW"
GH98-38160A,"ASSY COVER-BATT_ZW;SM-G361F,WHITE"
GH39-01578K,"DATA LINK CABLE-MICRO USB, 3.3PI, 1.0, W"
GH81-13024A,"A/S TAPE-OCTA;SM-J500H,YT-7730BT,BLACK"
GH81-13702A,"A/S-TAPE BACK GLASS;SM-G930F,NDFOS 935WS"
GH81-13556A,A/S TAPE-BACK_GLASS
GH81-13555A,"A/S TAPE-BACK_GLASS_ISLAND;SM-G935F,NDFO"
GH39-01710D,DATA LINK CABLE-5.4T / C-CUT
GH64-04536A,WINDOW DISPLAY-CAMERA (BLACK)
GH31-00741A,MOTOR DC VIBRATION-VIBRATION (SM-Z300H)
GH31-00726A,MOTOR DC VIBRATION-VIBRATION (SM-J500F)
GH39-01859A,CBF COAXIAL CABLE-62.5MM (SM_G935F)
GH81-12399A,A/S-TAPE DOUBLE FACE
6001-003225,SCREW-MACHINE
6001-003229,SCREW-MACHINE
GH61-09775A,CASE-LCD_CONN_CAP
6001-002051,"SCREW-MACHINE;PH,+,M1.4,L2.5,NI PLT,SWRC"
GH82-09223A,A/S ASSY-CH SET E SM-R7500ZKAATO
GH82-13950A,"SVC PBA-MAIN(COMM),SM-G955F/M64"
GH97-18533G,"SVC ASSY SMT-OCTA,(E/BLUE)"
GH82-13947A,SVC PBA-MAIN(COMM)
GH82-08933A,SVC PBA-PBA MAIN(COMM)
GH97-20470C,"SVC ASSY SMT-OCTA(E/VIOLET),SM-G955F,SVC"
GH82-09842A,SVC PBA-PBA MAIN(COMM)
GH97-20457A,"SVC ASSY SMT-OCTA,(E/BLK)"
GH97-20457C,"SVC ASSY SMT-OCTA,(E/VIOLET)"
GH82-10443A,"SVC PBA-PBA MAIN(COMM),SM-G928F/M32"
GH82-10235A,"SVC PBA-PBA MAIN(COMM/5.0)G925F/M64,SV"
GH82-10763A,"SVC PBA-PBA MAIN(COMM)SM-G925F/M32E,SV"
GH97-17819A,"SVC ASSY SMT-OCTA,(E/GODL),SM-G928F"
GH97-17819B,"SVC ASSY SMT-OCTA,(E/BLK),SM-G928F"
GH82-08903A,SVC PBA-PBA MAIN(COMM)
GH82-13635A,"SVC PBA-MAIN(COMM), SM-A520F/DS"
GH97-16565C,SVC ASSY SMT-OCTA ASSY E(SVC/GOLD)
GH97-16565B,"SVC LCD ASSY-OCTA (E/BLK),SM-N910F;SM-N9"
GH97-18523B,SVC ASSY SMT-SM-G930F OCTA (E/SILVER)
GH82-08541A,SVC PBA-PBA MAIN (COMM)
GH97-15849B,SVC ASSY SMT-LCD ASSY (SVC/WHT)
GH97-18523E,SVC ASSY SMT-SM-G930F OCTA (E/ED)
GH82-13805A,"SVC PBA-MAIN(COMM),SM-A320FL;M16;SM-A320"
GH97-18523D,SVC ASSY SMT-SM-G930F OCTA (E/WHT)
GH82-11136A,SVC PBA-PBA MAIN(COMM)
GH82-10399A,"SVC PBA-PBA MAIN(COMM)SM-G903F,SVC;SM-G9"
GH96-09178C,ASSY REAR UNIT-GPG
GH82-11886A,"SVC PBA-PBA MAIN(COMM),SM-J510FN;SVC;SM-"
GH97-19733B,"SVC ASSY SMT-OCTA,(E/GOLD),SM-A520F/DS"
GH97-19733A,"SVC ASSY SMT-OCTA,(E/BLACK),SM-A520F/DS"
